date,avg_stock_open,avg_stock_high,avg_stock_low,avg_stock_close,total_stock_volume,sp500_close,sp500_return,sp500_volatility_7d,avg_rainfall,depression_index,depression_word_count,total_articles,avg_depression_per_article,year,month,day_of_week,quarter
2014-01-01,51.31551577017118,51.93645989134974,50.44635222867614,50.97299822084457,4004206072.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,0.9740000000000001,,,,,2014,1,2,1
2014-01-02,51.31551577017118,51.93645989134974,50.44635222867614,50.97299822084457,4004206072.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,3.2820000000000005,,,,,2014,1,3,1
2014-01-03,51.1357817275291,51.82918431741481,50.523118829530894,51.00629899440059,3989926929.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,2.154,,,,,2014,1,4,1
2014-01-04,51.26108253118607,51.87900390097398,50.376505193256044,50.88535142971937,4641685811.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,0.7739999999999999,,,,,2014,1,5,1
2014-01-05,51.26108253118607,51.87900390097398,50.376505193256044,50.88535142971937,4641685811.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,3.49,,,,,2014,1,6,1
2014-01-06,51.26108253118607,51.87900390097398,50.376505193256044,50.88535142971937,4641685811.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,3.3819999999999997,,,,,2014,1,0,1
2014-01-07,51.155371394713534,52.01813968062312,50.551146240387816,51.250477526292386,4541000838.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,0.368,,,,,2014,1,1,1
2014-01-08,51.37630664533302,52.1076348325478,50.67441649452219,51.32794945416935,4628777008.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,1.1119999999999999,,,,,2014,1,2,1
2014-01-09,51.6055082386714,52.25808663779622,50.79313924655555,51.42132702184863,4386453355.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,1.8780000000000001,,,,,2014,1,3,1
2014-01-10,51.62555829929276,52.3700772606366,50.914980298185256,51.63731219984621,4293706647.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,3.832,,,,,2014,1,4,1
2014-01-11,51.64372556150759,52.342127061011446,50.57986412458468,50.99045518390923,4714793094.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,9.285999999999996,,,,,2014,1,5,1
2014-01-12,51.64372556150759,52.342127061011446,50.57986412458468,50.99045518390923,4714793094.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,1.6879999999999997,,,,,2014,1,6,1
2014-01-13,51.64372556150759,52.342127061011446,50.57986412458468,50.99045518390923,4714793094.0,1819.199951171875,-0.0125762165073898,0.0057772795283791,2.156,,,,,2014,1,0,1
2014-01-14,51.25471642877612,52.26377080121343,50.63506213950963,51.648672166217374,4869127455.0,1838.8800048828125,0.0108179717673475,0.007318786963906,4.362,,,,,2014,1,1,1
2014-01-15,51.81226788088893,52.59874460418952,51.165024748386806,51.84380499828622,5198795384.0,1848.3800048828125,0.0051661881007865,0.0073486236546732,0.48,,,,,2014,1,2,1
2014-01-16,51.85561510194192,52.594934643446365,51.19836394661242,51.83906751212133,4576303411.0,1845.8900146484375,-0.0013471203041567,0.0071447372573471,0.6679999999999999,,,,,2014,1,3,1
2014-01-17,51.96134381086408,52.62992317168497,51.21087078162833,51.742298170567985,5208244637.0,1838.699951171875,-0.003895174370902,0.0073508759780395,1.1880000000000002,,,,,2014,1,4,1
2014-01-18,52.13586886873227,52.83494852191771,51.24647387288449,51.92755048505339,4786245372.0,1838.699951171875,-0.003895174370902,0.0073508759780395,1.6399999999999997,,,,,2014,1,5,1
2014-01-19,52.13586886873227,52.83494852191771,51.24647387288449,51.92755048505339,4786245372.0,1838.699951171875,-0.003895174370902,0.0073508759780395,0.23199999999999993,,,,,2014,1,6,1
2014-01-20,52.13586886873227,52.83494852191771,51.24647387288449,51.92755048505339,4786245372.0,1838.699951171875,-0.003895174370902,0.0073508759780395,0.4660000000000001,,,,,2014,1,0,1
2014-01-21,52.13586886873227,52.83494852191771,51.24647387288449,51.92755048505339,4786245372.0,1843.800048828125,0.0027737519941737,0.0074204172976968,2.4159999999999995,,,,,2014,1,1,1
2014-01-22,52.09927667158102,52.82671150977313,51.419640869820775,52.05781811766653,4698456382.0,1844.8599853515625,0.0005748652214816,0.0073774764128323,0.8340000000000002,,,,,2014,1,2,1
2014-01-23,51.96938482718574,52.62352189537344,51.0613323266867,51.69121205848289,5099644909.0,1828.4599609375,-0.0088895767398506,0.0063756002473225,0.52,,,,,2014,1,3,1
