date,open,high,low,close,volume,num_stocks,Close_^GSPC,Return,Volatility_7,depression_word_count,total_articles,depression_index,avg_national_rainfall,price_range,price_change_pct,depression_index_category
2017-01-01,70.90057768717357,71.84604414147461,69.89543655541183,70.83498104365475,4933036381.0,498,2238.830078125,-0.0046370502277821,0.0036313667065306,30.0,15.0,70.0,3.847999999999999,1.9506075860627732,-0.09251919470704557,Medium
2017-01-02,70.90057768717357,71.84604414147461,69.89543655541183,70.83498104365475,4933036381.0,498,2238.830078125,-0.0046370502277821,0.0036313667065306,176.0,115.0,70.0,6.028000000000002,1.9506075860627732,-0.09251919470704557,Medium
2017-01-03,70.90057768717357,71.84604414147461,69.89543655541183,70.83498104365475,4933036381.0,498,2257.830078125,0.0084865752812792,0.0053557608307773,2.0,2.0,70.0,5.926,1.9506075860627732,-0.09251919470704557,Medium
2017-01-04,71.1056045892222,72.28903995928398,70.49283325890482,71.50505307400562,4604236730.0,498,2270.75,0.0057222737885258,0.0057737146213928,3.0,2.0,70.0,1.2479999999999998,1.7962067003791589,0.5617679324872323,Medium
2017-01-05,71.48654689601483,72.42486745837381,70.57863680371396,71.44298476244073,4380109190.0,498,2269.0,-0.0007706704833204,0.0057881013518567,0.0,0.0,70.0,0.9440000000000001,1.8462306546598484,-0.060937526661436016,Medium
2017-01-06,71.55022600261496,72.52898172215741,70.81216588422818,71.65656891022341,4079881155.0,498,2276.97998046875,0.0035169592193697,0.0058768877381071,6.0,2.0,70.0,2.2560000000000002,1.7168158379292322,0.14862693460194493,Medium
2017-01-07,71.72181772326866,72.46658724577458,70.84424055892731,71.44618990191493,4053008526.0,498,2276.97998046875,0.0035169592193697,0.0058768877381071,0.0,0.0,70.0,3.5879999999999996,1.6223466868472656,-0.38430122116704407,Medium
2017-01-08,71.72181772326866,72.46658724577458,70.84424055892731,71.44618990191493,4053008526.0,498,2276.97998046875,0.0035169592193697,0.0058768877381071,0.0,0.0,82.0,1.358,1.6223466868472656,-0.38430122116704407,High
2017-01-09,71.72181772326866,72.46658724577458,70.84424055892731,71.44618990191493,4053008526.0,498,2268.89990234375,-0.0035485942758867,0.0048587792430736,0.0,0.0,82.0,2.1520000000000006,1.6223466868472656,-0.38430122116704407,High
2017-01-10,71.5920357373393,72.56136113755312,70.84798089130153,71.60598342916573,4335855925.0,498,2268.89990234375,0.0,0.0048448904540503,0.0,0.0,82.0,3.13,1.7133802462515888,0.01948218357360696,High
2017-01-11,71.71382626975918,72.6534988234708,70.85244637262052,71.76229038391726,3860072480.0,498,2275.320068359375,0.0028296382793233,0.0040961282716964,0.0,0.0,82.0,3.421999999999999,1.8010524508502783,0.06757987501012229,High
2017-01-12,71.69301986532825,72.40899873617434,70.59431541825847,71.65763514204676,3817851621.0,498,2270.43994140625,-0.0021448089967596,0.0033271422391351,0.0,0.0,82.0,3.5880000000000005,1.8146833179158648,-0.04935588338720297,High
2017-01-13,71.83634884922854,72.73072401809792,71.17869643374195,71.83431062832415,3551701873.0,498,2274.639892578125,0.0018498402425362,0.0026190232721818,0.0,0.0,82.0,1.0759999999999998,1.5520275843559688,-0.0028373113849003194,High
2017-01-14,71.79718055955593,72.61195738767947,70.86944942167597,71.60241465444066,4109173349.0,498,2274.639892578125,0.0018498402425362,0.0026190232721818,0.0,0.0,82.0,2.068,1.742507966003501,-0.27127235860425253,High
2017-01-15,71.79718055955593,72.61195738767947,70.86944942167597,71.60241465444066,4109173349.0,498,2274.639892578125,0.0018498402425362,0.0026190232721818,0.0,0.0,76.0,2.087999999999999,1.742507966003501,-0.27127235860425253,High
2017-01-16,71.79718055955593,72.61195738767947,70.86944942167597,71.60241465444066,4109173349.0,498,2274.639892578125,0.0018498402425362,0.0026190232721818,1.0,1.0,76.0,3.286,1.742507966003501,-0.27127235860425253,High
2017-01-17,71.79718055955593,72.61195738767947,70.86944942167597,71.60241465444066,4109173349.0,498,2267.889892578125,-0.002967502689997,0.0028799810292337,1.0,1.0,76.0,4.046,1.742507966003501,-0.27127235860425253,High
2017-01-18,71.80798959107737,72.60057222623848,70.98295317086682,71.83097579776044,3884841044.0,498,2271.889892578125,0.0017637540575008,0.0025766841449243,1.0,1.0,76.0,3.3979999999999997,1.6176190553716623,0.032010653430030206,High
2017-01-19,71.95238194627737,72.67393727677836,70.98743519560219,71.57097637174599,4085479705.0,498,2263.68994140625,-0.0036093083554193,0.002589446409698,3.0,1.0,76.0,5.1560000000000015,1.6865020811761724,-0.5300805396771414,High
2017-01-20,71.90378256303254,72.65345551847186,71.05919540611559,71.75760269883168,4101708356.0,498,2271.31005859375,0.0033662371547078,0.0029477524703699,0.0,0.0,76.0,3.34,1.5942601123562667,-0.20329926881484375,High
2017-01-21,71.73930804904418,72.48502322959372,70.8151159835696,71.56605884349011,3673114076.0,498,2271.31005859375,0.0033662371547078,0.0029477524703699,0.0,0.0,76.0,5.394000000000001,1.669907246024124,-0.2414982946805549,High
2017-01-22,71.73930804904418,72.48502322959372,70.8151159835696,71.56605884349011,3673114076.0,498,2271.31005859375,0.0033662371547078,0.0029477524703699,0.0,0.0,85.0,4.0680000000000005,1.669907246024124,-0.2414982946805549,High
2017-01-23,71.73930804904418,72.48502322959372,70.8151159835696,71.56605884349011,3673114076.0,498,2265.199951171875,-0.0026901247580694,0.0028498089506613,0.0,0.0,85.0,5.404,1.669907246024124,-0.2414982946805549,High
2017-01-24,71.83452560315088,72.97498009918188,71.13684016835096,72.16527499827036,3954460369.0,498,2280.070068359375,0.0065645936376641,0.0038169421617311,1.0,1.0,85.0,5.647999999999999,1.8381399308309199,0.460432351076841,High
2017-01-25,72.59994996995819,73.88042390883749,71.86573292961312,73.01486533999922,4339415630.0,498,2298.3701171875,0.0080260905496174,0.0047506635645833,0.0,0.0,85.0,1.6480000000000004,2.014690979224369,0.5715091679990429,High
2017-01-26,73.14297073440416,74.11125529998235,72.24881331386361,72.97870169011465,4095568470.0,498,2296.679931640625,-0.0007353844075136,0.0044678280871126,0.0,0.0,85.0,2.1339999999999995,1.8624419861187391,-0.22458623520502513,High
2017-01-27,73.10075300749176,73.85865503151808,72.04573911118007,72.91306623158206,3735719269.0,498,2294.68994140625,-0.0008664638929263,0.0045817367863612,1.0,1.0,85.0,0.38800000000000007,1.812915920338014,-0.2567508106112964,High
2017-01-28,72.80054309536754,73.46452348650091,71.59687792848872,72.58862543919957,3876877782.0,498,2294.68994140625,-0.0008664638929263,0.0045817367863612,0.0,0.0,85.0,0.24799999999999997,1.8676455580121853,-0.2910935099623648,High
2017-01-29,72.80054309536754,73.46452348650091,71.59687792848872,72.58862543919957,3876877782.0,498,2294.68994140625,-0.0008664638929263,0.0045817367863612,0.0,0.0,85.0,0.73,1.8676455580121853,-0.2910935099623648,High
2017-01-30,72.80054309536754,73.46452348650091,71.59687792848872,72.58862543919957,3876877782.0,498,2280.89990234375,-0.0060095435176958,0.005084524421221,0.0,0.0,85.0,0.564,1.8676455580121853,-0.2910935099623648,High
2017-01-31,72.57105560791618,73.47507248265421,71.55965258480053,72.56569374948141,4113340262.0,498,2278.8701171875,-0.000889905407144,0.005021556419554,2.0,2.0,85.0,1.4339999999999997,1.9154198978536812,-0.007388425578010415,High
2017-02-01,72.85737898359191,73.66410468305766,71.69260272307537,72.49714181174237,4691808403.0,498,2279.550048828125,0.0002983634896507,0.0048299427861751,1.0,1.0,85.0,0.5479999999999999,1.971501959982291,-0.4944415745873538,High
2017-02-02,72.44196689410978,73.51829433854928,71.62928284457249,72.64298152636333,4157379689.0,498,2280.85009765625,0.0005703094032936,0.0041434362028787,0.0,0.0,85.0,0.43599999999999994,1.8890114939767955,0.27748367537752566,High
2017-02-03,73.04662944614508,74.04205316760039,72.33061280679128,73.21728802301797,4085180530.0,498,2297.419921875,0.0072647580986477,0.0039023443044943,2.0,1.0,85.0,0.9760000000000001,1.7114403608091067,0.23362963926859448,High
