Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-01-15,0.9,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.6,0.2,6.8,1.8,0.0,0.1,1.6,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.3,0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.0,0.0,0.0,1.8,0.0,0.2,0.2,0.0
2014-01-16,0.0,8.9,0.0,0.0,0.0,0.0,1.7,0.7,1.3,0.0,0.2,0.0,1.2,2.8,0.8,0.0,0.7,0.0,0.5,0.3,0.2,2.2,0.5,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.0,1.1,0.0,1.2,1.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.7,1.2,0.0,0.0,1.9,0.0
2014-01-17,0.0,45.5,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.3,0.0,1.3,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,1.9,1.1,0.0
2014-01-18,0.0,19.3,0.0,0.0,0.0,0.0,4.4,0.5,0.0,0.0,0.2,0.0,3.1,3.1,2.9,0.0,0.3,0.0,0.0,0.0,13.2,0.0,6.1,0.0,0.3,0.0,0.0,0.0,9.8,1.6,0.0,1.9,0.0,1.1,1.4,0.0,0.0,3.1,9.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
2014-01-19,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.3,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,1.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0
2014-01-20,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.7,0.0
2014-01-21,1.5,31.9,0.0,0.0,0.0,0.0,5.6,9.4,0.2,0.0,0.0,0.0,2.7,3.6,0.2,0.0,6.8,0.5,0.0,10.8,3.4,0.0,0.5,0.7,0.3,0.0,0.0,0.0,0.8,10.1,0.0,0.2,5.3,1.6,0.6,0.0,0.0,3.8,5.3,0.0,0.0,0.6,0.0,0.0,0.0,4.6,0.0,9.8,0.0,0.0
2014-01-22,0.0,15.9,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.0,10.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.5,0.2,0.0,0.0,5.1,0.0,0.0,0.1,1.1,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,2.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.2
2014-01-23,0.0,16.1,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2014-01-24,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.3,0.0,0.0,1.9,0.0,0.0,0.0,0.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,2.3,0.0
2014-01-25,0.0,3.3,0.0,0.0,0.0,0.0,1.4,1.5,0.0,0.0,0.0,0.0,1.0,3.1,0.2,0.0,3.5,0.0,2.0,0.7,0.7,2.9,0.6,0.0,0.2,0.0,0.0,0.0,1.0,1.4,0.0,3.0,0.0,5.2,7.1,0.0,0.0,0.5,0.7,0.0,1.5,0.0,0.0,0.0,2.8,0.0,0.0,5.7,0.3,0.0
2014-01-26,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.8,0.0,1.4,1.6,2.0,0.1,0.0,0.4,0.2,0.2,0.0,2.3,3.5,0.0,0.0,4.5,0.0,0.0,0.0,0.2,0.0,0.4,0.0,1.1,2.1,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.6,1.3
2014-01-27,0.3,3.4,0.0,0.0,0.0,2.3,0.4,0.0,1.9,0.0,7.2,0.0,0.0,0.4,0.0,0.0,1.9,0.9,1.9,0.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1.1,0.0,0.0,1.3,0.0,0.0,0.6,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,3.8,0.0,0.1
2014-01-28,6.0,6.7,0.0,0.0,0.0,1.7,0.0,0.5,0.0,8.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.1,11.1,0.0,0.0,6.5,0.0,0.0,1.9,0.0,0.0,0.7,0.2,0.0,0.0,0.0
